mean_test_score,std_test_score,params
0.9676521739130435,0.0057200678880204164,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 300, 'subsample': 0.8}"
0.9653333333333333,0.007018085078456357,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 300, 'subsample': 1.0}"
0.9508405797101449,0.006724637681159407,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 100, 'subsample': 0.8}"
0.951536231884058,0.0072461449238259805,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 100, 'subsample': 1.0}"
0.9618550724637682,0.0053685040708592174,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 200, 'subsample': 0.8}"
0.9623188405797102,0.0064345214727010245,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 200, 'subsample': 1.0}"
0.9676521739130435,0.0057200678880204164,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 300, 'subsample': 0.8}"
0.9653333333333333,0.007018085078456357,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 300, 'subsample': 1.0}"
0.9673043478260869,0.0060977130630978085,"{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 100, 'subsample': 0.8}"
0.9682318840579711,0.006040123491075309,"{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 100, 'subsample': 1.0}"
0.9741449275362319,0.005952694563707102,"{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 200, 'subsample': 0.8}"
0.974608695652174,0.005203201315319844,"{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 200, 'subsample': 1.0}"
0.9765797101449275,0.005075030406548213,"{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 300, 'subsample': 0.8}"
0.977391304347826,0.004259982161362045,"{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 300, 'subsample': 1.0}"
0.9673043478260869,0.0060977130630978085,"{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 100, 'subsample': 0.8}"
0.9682318840579711,0.006040123491075309,"{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 100, 'subsample': 1.0}"
0.9741449275362319,0.005952694563707102,"{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 200, 'subsample': 0.8}"
0.974608695652174,0.005203201315319844,"{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 200, 'subsample': 1.0}"
0.9765797101449275,0.005075030406548213,"{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 300, 'subsample': 0.8}"
0.977391304347826,0.004259982161362045,"{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 300, 'subsample': 1.0}"
0.9741449275362319,0.005519132862799749,"{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 'sqrt', 'n_estimators': 100, 'subsample': 0.8}"
0.9726376811594204,0.004266288578080958,"{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 'sqrt', 'n_estimators': 100, 'subsample': 1.0}"
0.978086956521739,0.0052801379880513186,"{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 'sqrt', 'n_estimators': 200, 'subsample': 0.8}"
0.9765797101449275,0.005757546211216285,"{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 'sqrt', 'n_estimators': 200, 'subsample': 1.0}"
0.9800579710144929,0.004994935473284164,"{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 'sqrt', 'n_estimators': 300, 'subsample': 0.8}"
0.9794782608695651,0.005371007453634985,"{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 'sqrt', 'n_estimators': 300, 'subsample': 1.0}"
0.9741449275362319,0.005519132862799749,"{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 'log2', 'n_estimators': 100, 'subsample': 0.8}"
0.9726376811594204,0.004266288578080958,"{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 'log2', 'n_estimators': 100, 'subsample': 1.0}"
0.978086956521739,0.0052801379880513186,"{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 'log2', 'n_estimators': 200, 'subsample': 0.8}"
0.9765797101449275,0.005757546211216285,"{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 'log2', 'n_estimators': 200, 'subsample': 1.0}"
0.9800579710144929,0.004994935473284164,"{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 'log2', 'n_estimators': 300, 'subsample': 0.8}"
0.9794782608695651,0.005371007453634985,"{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 'log2', 'n_estimators': 300, 'subsample': 1.0}"
0.9593043478260871,0.009710101665488727,"{'learning_rate': 1, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 100, 'subsample': 0.8}"
0.9676521739130435,0.002602892095147089,"{'learning_rate': 1, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 100, 'subsample': 1.0}"
0.9108405797101449,0.058305585262836,"{'learning_rate': 1, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 200, 'subsample': 0.8}"
0.9719420289855073,0.002830505650025222,"{'learning_rate': 1, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 200, 'subsample': 1.0}"
0.9001739130434784,0.04143917987930652,"{'learning_rate': 1, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 300, 'subsample': 0.8}"
0.9644057971014492,0.022510675662862075,"{'learning_rate': 1, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 300, 'subsample': 1.0}"
0.9593043478260871,0.009710101665488727,"{'learning_rate': 1, 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 100, 'subsample': 0.8}"
0.9676521739130435,0.002602892095147089,"{'learning_rate': 1, 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 100, 'subsample': 1.0}"
0.9108405797101449,0.058305585262836,"{'learning_rate': 1, 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 200, 'subsample': 0.8}"
0.9719420289855073,0.002830505650025222,"{'learning_rate': 1, 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 200, 'subsample': 1.0}"
0.9001739130434784,0.04143917987930652,"{'learning_rate': 1, 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 300, 'subsample': 0.8}"
